,id,company_rating,company_location,total_fleet_count,iata_approved
3,28619,100%,Bosnia and Herzegovina,1.0,f
6,2859,90%,Bahrain,1.0,f
10,14574,100%,,1.0,f
15,19811,90%,Nicaragua,21.0,t
17,16846,,Lebanon,1.0,f
22,38865,100%,,2.0,t
25,12819,,,1.0,f
27,10973,,Rwanda,1.0,f
29,32178,,Niue,4.0,t
30,5332,82%,,5.0,t
31,9830,100%,Barbados,3.0,t
33,41662,,,1.0,t
36,16042,0%,Rwanda,2.0,f
37,18420,,Wallis and Futuna,1.0,t
42,37293,92%,Russian Federation,15.0,f
46,27510,,Kenya,1.0,t
47,25573,,Reunion,1.0,f
54,15404,,,1.0,t
56,35572,,Nicaragua,1.0,f
59,21124,,Estonia,2.0,t
66,15015,,,1.0,t
67,37686,90%,Monaco,1.0,t
68,41236,,,1.0,f
69,22210,,Zimbabwe,1.0,f
72,22408,,Portugal,1.0,f
76,47398,100%,,1.0,t
78,22090,100%,Marshall Islands,1.0,t
81,39794,,,1.0,t
85,1241,100%,Chile,1.0,f
88,7008,,,1.0,f
90,34678,89%,Croatia,4.0,t
92,39117,,Moldova,1.0,t
98,37939,,,1.0,t
99,32494,,,1.0,t
101,17908,100%,Mexico,2.0,f
104,10546,,,1.0,t
110,46569,,,1.0,f
111,40661,,Sao Tome and Principe,2.0,t
113,1577,100%,Peru,8.0,t
114,48446,100%,,1.0,f
117,24954,60%,Christmas Island,2.0,f
118,24736,100%,Isle of Man,1.0,t
119,950,,Chile,1.0,f
129,20183,100%,,1.0,t
132,39998,100%,Micronesia,4.0,t
135,44245,100%,,1.0,f
136,22758,,,1.0,f
137,47617,100%,Philippines,2.0,f
138,23779,,,1.0,f
139,18071,,,1.0,t
142,27729,,Afghanistan,4.0,f
149,12799,80%,Faroe Islands,2.0,f
150,34355,,,2.0,t
152,21239,100%,Denmark,1.0,f
156,31290,,,1.0,f
157,35774,90%,Brazil,1.0,t
164,36263,,,1.0,f
170,8551,100%,Lebanon,1.0,f
175,17669,100%,Russian Federation,3.0,f
176,25029,,,1.0,t
177,43882,,Turkmenistan,1.0,f
180,17751,,,2.0,f
181,33043,,Niue,2.0,f
182,20648,,United Kingdom,1.0,f
184,830,,Guernsey,1.0,t
186,27226,100%,Congo,10.0,f
189,7025,100%,Jersey,1.0,f
195,15991,100%,Congo,1.0,t
196,42600,100%,Malawi,1.0,t
197,6669,,Malawi,1.0,t
199,11291,100%,,1.0,f
215,35826,,,2.0,f
216,12261,,Niue,1.0,t
220,6984,100%,Suriname,9.0,f
221,8362,100%,Malawi,2.0,t
223,17,,,1.0,f
225,46381,100%,,2.0,f
230,36627,,,2.0,t
234,10240,,,1.0,f
238,46424,,Niger,6.0,t
244,35077,100%,Cocos (Keeling) Islands,4.0,f
247,7612,100%,,1.0,f
249,44417,100%,,1.0,f
251,26952,,Russian Federation,3.0,t
252,18182,67%,,1.0,f
257,26064,,,1.0,f
260,37178,,,1.0,f
265,29643,,,1.0,t
268,18557,67%,Monaco,2.0,f
272,45766,,,2.0,t
276,48212,,,1.0,f
280,16649,100%,Gibraltar,8.0,f
283,33622,,Micronesia,1.0,f
285,38297,100%,,3.0,f
290,9420,,,1.0,f
292,33188,,Indonesia,1.0,f
293,14471,,Micronesia,1.0,f
295,41099,,,1.0,f
296,42163,,Rwanda,1.0,t
299,35534,,Ghana,1.0,f
300,7224,,Brunei Darussalam,1.0,t
301,31184,100%,,1.0,t
306,33012,,,1.0,f
307,36581,,,1.0,f
308,24475,,,1.0,f
310,38257,100%,Svalbard & Jan Mayen Islands,1.0,f
311,42777,,,1.0,f
312,17016,,,1.0,t
324,33743,100%,Denmark,2.0,f
334,21186,100%,Rwanda,2.0,t
336,5108,,Turkmenistan,1.0,f
340,40805,90%,Uzbekistan,2.0,f
341,46907,,Chile,1.0,t
344,8071,,,1.0,f
347,47264,,,1.0,t
352,5484,,Papua New Guinea,1.0,f
355,19877,,Zimbabwe,1.0,f
359,37326,100%,,1.0,f
365,28172,100%,Isle of Man,1.0,f
370,14050,100%,Lithuania,1.0,t
372,38508,100%,Rwanda,1.0,t
375,9857,100%,,1.0,t
381,43001,,Bosnia and Herzegovina,1.0,f
387,18928,90%,,1.0,f
391,3635,,,1.0,f
396,38004,0%,Palestinian Territory,2.0,f
397,29844,100%,,2.0,t
399,10233,,Barbados,2.0,f
404,23055,91%,,2.0,f
405,614,67%,,1.0,f
406,6674,,Tonga,2.0,t
413,48181,,,1.0,f
414,4269,,,1.0,f
416,45199,,Puerto Rico,6.0,f
417,27067,,,1.0,f
418,20314,100%,El Salvador,1.0,f
419,30790,,Reunion,2.0,f
421,11711,,Korea,1.0,t
424,18698,100%,,1.0,f
428,20663,100%,,1.0,t
433,5496,,Maldives,1.0,t
434,33948,100%,,2.0,f
437,31600,,Papua New Guinea,1.0,f
439,39575,,,1.0,f
440,25445,70%,,2.0,f
441,11781,100%,Guinea,2.0,t
452,41022,100%,Cape Verde,3.0,t
454,32703,100%,,2.0,f
455,17447,100%,El Salvador,4.0,t
456,27442,90%,Solomon Islands,1.0,f
461,19861,67%,Togo,1.0,f
464,46687,100%,,1.0,f
467,35824,,Anguilla,1.0,f
470,35737,100%,,1.0,f
478,11110,88%,Kiribati,3.0,t
479,3314,100%,Slovakia (Slovak Republic),10.0,f
480,2394,,,2.0,t
495,44146,36%,Malawi,2.0,t
496,16916,,Guernsey,1.0,f
504,44280,,Iraq,2.0,t
505,23440,,Chad,1.0,t
510,6759,,,1.0,t
516,27090,100%,Tonga,2.0,t
518,43902,100%,,2.0,t
519,18490,,,1.0,f
521,45210,,Zimbabwe,1.0,t
524,1200,100%,Russian Federation,2.0,t
525,525,100%,,1.0,f
528,27227,100%,Isle of Man,2.0,t
536,23953,100%,,1.0,f
537,3490,100%,Papua New Guinea,1.0,f
539,43891,,China,2.0,t
541,29480,100%,French Polynesia,6.0,f
544,37841,0%,,1.0,t
549,9803,,Monaco,1.0,t
551,1327,100%,Brazil,1.0,f
554,27289,99%,Reunion,12.0,t
556,33783,0%,Lebanon,1.0,f
561,11005,100%,,1.0,t
562,38193,100%,French Guiana,1.0,t
566,21331,100%,Holy See (Vatican City State),1.0,f
568,40192,100%,Croatia,2.0,t
570,10697,100%,Uzbekistan,3.0,t
571,35364,100%,Sao Tome and Principe,1.0,f
572,26863,,Mexico,7.0,f
577,1126,100%,Estonia,1.0,t
579,34121,,,1.0,f
580,27811,100%,Ukraine,4.0,t
583,2078,,Sao Tome and Principe,1.0,f
587,24254,,,1.0,f
591,16306,,Holy See (Vatican City State),1.0,f
592,7246,100%,Niue,6.0,f
598,29343,,Russian Federation,1.0,f
603,45369,,Christmas Island,1.0,f
606,23911,,Vanuatu,1.0,t
607,46453,100%,Russian Federation,1.0,t
608,41036,100%,French Polynesia,2.0,f
609,5405,,,1.0,t
612,15803,100%,Tonga,1.0,t
614,24434,,Marshall Islands,1.0,t
619,10355,,,1.0,f
622,47361,100%,Barbados,10.0,f
624,30971,,,1.0,f
626,35563,,French Guiana,1.0,f
630,17427,100%,Mexico,2.0,f
634,13557,80%,,1.0,t
636,43393,100%,,1.0,f
638,6760,,Montserrat,1.0,f
645,8524,,Faroe Islands,1.0,f
646,21736,100%,Vanuatu,4.0,f
649,34241,,Gibraltar,1.0,t
652,7500,100%,Paraguay,8.0,t
654,41066,,,1.0,f
657,13827,,Turks and Caicos Islands,1.0,f
659,20760,,French Guiana,1.0,f
664,16868,100%,,1.0,t
665,19653,,Cook Islands,1.0,f
672,17712,100%,,1.0,f
673,832,,El Salvador,1.0,f
675,36429,,,1.0,f
678,32401,,,1.0,f
679,17086,100%,Saint Pierre and Miquelon,2.0,t
680,36900,100%,,1.0,t
682,21557,,,1.0,f
684,22096,,,1.0,f
687,17819,100%,Guinea,2.0,f
688,9202,100%,,1.0,f
690,2924,,Puerto Rico,1.0,f
695,36924,,Sao Tome and Principe,1.0,t
696,3947,,Zimbabwe,1.0,f
699,11126,100%,Anguilla,3.0,t
701,24271,,Kenya,1.0,f
704,26233,,,2.0,t
707,49825,100%,Pakistan,7.0,t
708,47391,,,2.0,t
709,39894,,,1.0,f
715,2941,,Tonga,2.0,t
716,29798,,,1.0,f
723,22231,100%,Guinea,2.0,f
729,27738,,Chad,1.0,t
730,30644,,Kiribati,1.0,t
733,44440,88%,Somalia,2.0,f
736,22799,,,1.0,t
737,24546,50%,Zimbabwe,2.0,f
738,45111,100%,Sao Tome and Principe,420.0,f
740,40899,100%,,1.0,t
744,16906,,Costa Rica,1.0,t
748,390,100%,Niue,1.0,t
749,49805,,,1.0,f
750,41646,,Maldives,3.0,f
751,12187,,,1.0,f
753,10149,100%,Isle of Man,1.0,f
757,7303,,,1.0,f
758,6780,,Zimbabwe,2.0,t
767,31554,100%,Marshall Islands,1.0,t
769,20945,,Niger,1.0,f
772,4828,100%,Philippines,1.0,t
777,11329,,Philippines,1.0,f
778,27822,100%,Russian Federation,2.0,f
779,41967,,,1.0,f
780,29454,100%,Guinea,1.0,f
785,15200,100%,Gibraltar,1.0,t
789,4659,,,1.0,t
793,43734,90%,,1.0,f
796,5970,100%,El Salvador,2.0,f
802,2538,67%,Monaco,1.0,f
804,38912,,Ghana,1.0,f
805,27158,100%,Indonesia,1.0,f
806,14735,,Greenland,1.0,f
810,6004,90%,Micronesia,4.0,f
813,21580,100%,,3.0,f
817,22770,,Puerto Rico,1.0,f
823,1840,,,1.0,f
824,9578,,Mexico,1.0,f
826,1167,,Guinea,1.0,t
827,35797,,,1.0,f
828,5031,,El Salvador,1.0,f
829,30320,100%,Togo,4.0,f
831,48321,100%,China,17.0,f
833,41553,100%,Tonga,2.0,f
834,14325,,Maldives,2.0,t
836,20316,,Isle of Man,1.0,t
843,32075,100%,Indonesia,2.0,f
844,46099,98%,Uzbekistan,28.0,f
845,15112,,Malawi,2.0,f
852,49105,100%,Malta,3.0,f
859,10723,100%,,1.0,f
860,39793,100%,Uzbekistan,1.0,t
861,21431,100%,,2.0,t
865,3620,100%,Russian Federation,1.0,f
866,39301,100%,,1.0,f
868,29574,,,1.0,f
870,35028,,Chad,1.0,f
877,38032,,Svalbard & Jan Mayen Islands,1.0,t
878,25475,,,1.0,f
883,35190,100%,,1.0,t
884,23371,,,1.0,f
889,44851,,Lebanon,1.0,f
890,7264,100%,Philippines,9.0,f
891,44895,100%,France,3.0,t
892,12033,,Congo,1.0,f
894,19915,100%,,1.0,f
895,49681,,France,2.0,f
896,48519,,Isle of Man,1.0,t
899,24567,90%,Costa Rica,2.0,f
900,21201,,Vanuatu,2.0,f
901,16737,100%,Kiribati,1.0,t
903,37549,100%,Chile,1.0,t
906,35687,,Djibouti,1.0,t
908,40246,,Gibraltar,1.0,f
910,2203,100%,Ecuador,1.0,f
913,46254,100%,Venezuela,4.0,f
915,20664,100%,Nauru,4.0,f
930,23304,,Barbados,1.0,t
933,25659,100%,United Kingdom,1.0,t
934,28568,100%,Faroe Islands,3.0,f
943,35106,,Togo,1.0,f
944,44246,,Mauritania,1.0,f
945,31281,100%,Nauru,1.0,f
954,11891,100%,Russian Federation,1.0,t
957,28999,,,1.0,f
963,29551,100%,Mauritania,2.0,f
966,33882,100%,,1.0,f
969,42012,100%,Monaco,3.0,t
971,38574,83%,,1.0,f
975,6299,100%,,1.0,t
976,7053,100%,Marshall Islands,2.0,f
977,40709,,Denmark,1.0,f
985,19979,100%,Tanzania,1.0,f
996,47110,,Nauru,1.0,t
997,39588,,Micronesia,1.0,t
999,32532,,Niue,1.0,t
1001,1513,,,3.0,f
1006,14305,100%,,1.0,t
1010,21498,90%,,1.0,f
1012,38323,100%,,1.0,f
1014,49512,,Netherlands,1.0,t
1017,1820,100%,El Salvador,2.0,f
1021,9028,,Russian Federation,1.0,f
1022,24678,,Faroe Islands,2.0,f
1023,31497,,,1.0,f
1029,26860,,,1.0,f
1032,9693,100%,Vanuatu,8.0,f
1035,24337,,Sao Tome and Principe,1.0,f
1038,28218,,,1.0,t
1046,13200,,China,2.0,f
1047,28719,100%,Russian Federation,4.0,t
1054,634,,,1.0,f
1055,18277,,Bosnia and Herzegovina,1.0,f
1057,22335,100%,Russian Federation,3.0,t
1059,48579,,,1.0,f
1060,32294,,Niue,1.0,f
1062,42421,100%,Costa Rica,5.0,t
1063,26548,,,1.0,t
1065,3452,,Isle of Man,1.0,t
1073,49128,,,1.0,f
1075,46069,50%,France,1.0,t
1076,9743,100%,,2.0,f
1077,15051,100%,,1.0,f
1080,23489,,,1.0,t
1087,2258,100%,,3.0,t
1089,48175,50%,,1.0,t
1092,72,,Sao Tome and Principe,1.0,f
1093,41033,,Zimbabwe,1.0,f
1097,17362,,Chad,1.0,f
1109,24534,,Barbados,1.0,f
1112,13163,25%,Svalbard & Jan Mayen Islands,2.0,f
1115,24964,,,1.0,t
1124,3695,,,1.0,f
1126,16232,,Lebanon,1.0,t
1129,15756,94%,Afghanistan,2.0,t
1134,18123,100%,Russian Federation,3.0,f
1138,47483,90%,Jersey,1.0,t
1143,46290,100%,Micronesia,2.0,f
1146,3596,100%,Marshall Islands,6.0,t
1148,5355,,,1.0,f
1149,1021,100%,Jersey,1.0,f
1150,502,,,2.0,f
1151,14583,,Costa Rica,1.0,f
1154,10533,100%,Indonesia,1.0,t
1156,44635,,Barbados,2.0,t
1164,15375,,,1.0,f
1173,12960,100%,Indonesia,9.0,f
