,id,company_rating,company_location,total_fleet_count,iata_approved
4,8240,,Chile,1.0,t
11,36935,,Niue,1.0,t
12,17077,,,1.0,f
14,40075,93%,Denmark,2.0,t
16,1337,0%,Micronesia,1.0,f
18,22049,,Djibouti,1.0,f
19,33906,80%,Marshall Islands,1.0,f
20,14122,100%,Malta,1.0,t
21,42226,100%,Rwanda,2.0,t
23,12594,,,1.0,t
24,42127,,Chile,1.0,t
26,12322,,Ghana,1.0,t
28,23917,,Guinea,1.0,f
30,5332,82%,,5.0,t
34,43024,,Croatia,1.0,t
35,23356,100%,Netherlands,1.0,f
38,28637,,Chad,1.0,f
39,33035,,Gibraltar,1.0,t
40,37247,100%,Tanzania,3.0,f
41,47759,,,1.0,f
42,37293,92%,Russian Federation,15.0,f
43,9865,,Lebanon,1.0,t
48,3983,,Guinea,1.0,f
50,16449,,Tonga,1.0,t
51,26524,100%,Guinea,2.0,t
53,16370,50%,Isle of Man,1.0,t
55,7588,100%,Philippines,2.0,f
57,29167,,,1.0,t
61,7891,100%,Barbados,1.0,f
62,31532,,,1.0,f
63,22175,50%,Lebanon,1.0,t
64,24416,,,1.0,t
70,40770,100%,Tonga,2.0,f
71,7399,,,1.0,t
73,26040,,Isle of Man,1.0,t
74,3659,,Cape Verde,1.0,t
77,30561,,Reunion,1.0,f
79,653,,Vanuatu,3.0,f
82,30170,,Chile,1.0,t
84,24562,,Lithuania,1.0,f
89,18922,,,1.0,f
90,34678,89%,Croatia,4.0,t
93,32063,100%,Niue,2.0,t
94,19581,100%,Russian Federation,1.0,f
95,42314,100%,,1.0,f
96,18430,,Lebanon,2.0,t
97,28985,100%,Monaco,1.0,t
105,19139,100%,Mauritania,1.0,f
106,42020,100%,,2.0,t
107,17652,50%,Isle of Man,1.0,f
109,31213,100%,Denmark,1.0,t
112,12483,,,1.0,t
113,1577,100%,Peru,8.0,t
115,15425,,Uzbekistan,1.0,t
116,9819,,United Kingdom,1.0,t
121,46615,100%,,1.0,t
123,16,,,1.0,t
124,44885,100%,Philippines,1.0,t
125,12310,,,1.0,f
126,31040,100%,El Salvador,2.0,t
127,40396,,Russian Federation,1.0,f
128,19540,100%,Guinea,1.0,t
130,78,100%,Gambia,1.0,t
131,42549,,Uzbekistan,1.0,t
133,768,,Bahrain,1.0,t
140,8640,,Niue,1.0,t
141,18651,,,1.0,t
143,37118,,,1.0,t
146,15586,,Niue,1.0,t
149,12799,80%,Faroe Islands,2.0,f
151,5729,100%,Russian Federation,1.0,f
153,5532,,Jersey,1.0,f
158,25262,,Maldives,1.0,t
160,5643,,Tonga,1.0,t
163,25613,,Nicaragua,1.0,t
166,1353,,France,1.0,t
169,42558,,Russian Federation,1.0,f
172,4717,,Isle of Man,1.0,f
173,42975,,Philippines,1.0,f
174,26853,,Russian Federation,1.0,t
175,17669,100%,Russian Federation,3.0,f
178,41421,,Gambia,1.0,t
183,22110,100%,,1.0,t
190,19731,,,1.0,t
194,8012,100%,Sao Tome and Principe,2.0,t
198,46787,100%,Niue,1.0,t
202,19554,,Lebanon,2.0,f
203,22806,100%,Faroe Islands,1.0,f
204,33223,100%,Nauru,1.0,t
205,547,,Guinea,1.0,t
206,36422,,Montserrat,1.0,f
207,23387,100%,,2.0,t
208,20463,100%,Lithuania,2.0,f
209,6860,,Djibouti,1.0,f
210,28276,83%,Papua New Guinea,2.0,f
211,26519,100%,Turks and Caicos Islands,2.0,t
212,6930,,Guernsey,1.0,t
213,31598,67%,Ukraine,1.0,f
218,42671,,Niue,1.0,f
219,33222,67%,Croatia,1.0,f
220,6984,100%,Suriname,9.0,f
222,28914,,Chile,1.0,t
229,30684,100%,Niue,2.0,t
230,36627,,,2.0,t
231,40047,,Malta,1.0,f
232,44736,100%,Guernsey,1.0,t
235,48629,,Micronesia,1.0,f
237,35428,,Switzerland,1.0,t
240,14136,100%,Guinea,1.0,f
241,49604,,Afghanistan,2.0,t
243,30462,0%,Lithuania,1.0,t
246,28404,100%,Croatia,1.0,t
248,35386,100%,Venezuela,1.0,f
250,7217,,Sao Tome and Principe,1.0,f
253,5450,,,1.0,f
255,24676,,Guinea,1.0,f
256,49510,100%,Croatia,1.0,t
259,46440,,Russian Federation,1.0,t
261,3545,,Pakistan,1.0,t
262,33059,,Malta,1.0,f
263,27823,100%,,1.0,t
264,34829,100%,,2.0,t
266,46932,,,1.0,f
269,16464,,Isle of Man,1.0,f
271,10426,,,1.0,f
272,45766,,,2.0,t
274,36423,100%,,1.0,f
277,45880,,,1.0,t
279,40276,100%,Anguilla,1.0,t
282,38957,,Kiribati,1.0,f
284,9411,,Papua New Guinea,1.0,t
286,21292,,Gambia,1.0,t
289,4486,100%,Russian Federation,1.0,t
291,10593,,Netherlands,1.0,f
297,18666,,Cocos (Keeling) Islands,2.0,t
298,10340,,Ecuador,1.0,t
302,24583,,Bahrain,1.0,f
303,6786,,Niue,1.0,t
304,10887,67%,Russian Federation,1.0,f
309,9318,,,1.0,f
315,21860,100%,France,2.0,t
316,42892,,Tanzania,1.0,f
320,25399,,,1.0,t
321,39857,100%,Cocos (Keeling) Islands,1.0,t
322,17150,,Vanuatu,2.0,t
323,11618,,Montserrat,2.0,f
325,4957,100%,Puerto Rico,1.0,f
326,34238,100%,Saint Barthelemy,5.0,t
328,9437,,,1.0,f
329,41584,,,1.0,t
330,12213,,Chad,1.0,t
349,32413,100%,Faroe Islands,1.0,f
