,shuttle_id,review_scores_rating,review_scores_comfort,review_scores_amenities,review_scores_trip,review_scores_crew,review_scores_location,review_scores_price,number_of_reviews,reviews_per_month
0,45163,91.0,10.0,9.0,9.0,9.0,9.0,9.0,26,0.77
1,49438,96.0,10.0,10.0,10.0,10.0,10.0,9.0,61,0.62
2,10750,97.0,10.0,10.0,10.0,10.0,10.0,10.0,467,4.66
3,4146,95.0,10.0,10.0,10.0,10.0,9.0,9.0,318,3.22
4,5067,97.0,10.0,9.0,10.0,10.0,9.0,10.0,22,0.29
5,14891,93.0,9.0,8.0,10.0,9.0,9.0,9.0,15,0.19
6,5689,92.0,9.0,10.0,9.0,10.0,10.0,9.0,75,0.79
7,75321,97.0,10.0,10.0,10.0,10.0,9.0,10.0,450,4.5
8,27341,,,,,,,,0,
9,25733,94.0,10.0,9.0,10.0,10.0,9.0,9.0,168,2.55
10,38733,88.0,10.0,8.0,9.0,9.0,9.0,9.0,38,0.41
11,61198,96.0,9.0,9.0,10.0,10.0,10.0,9.0,95,0.95
12,9858,,,,,,,,0,
13,18221,95.0,9.0,10.0,10.0,10.0,10.0,9.0,184,1.9
14,18590,95.0,10.0,9.0,10.0,10.0,9.0,10.0,172,1.91
15,19813,72.0,7.0,8.0,8.0,8.0,9.0,8.0,10,0.15
16,74856,95.0,9.0,10.0,10.0,10.0,9.0,9.0,176,1.95
17,76722,98.0,10.0,10.0,10.0,10.0,10.0,10.0,30,0.41
18,29755,93.0,9.0,10.0,10.0,10.0,9.0,9.0,23,0.27
19,12358,95.0,9.0,9.0,10.0,10.0,10.0,9.0,23,0.28
20,16167,97.0,10.0,10.0,10.0,10.0,10.0,9.0,165,1.82
21,259,94.0,10.0,10.0,10.0,10.0,9.0,9.0,182,1.97
22,71339,96.0,10.0,9.0,10.0,10.0,9.0,10.0,55,0.59
23,48376,,,,,,,,0,
24,25335,100.0,10.0,10.0,10.0,10.0,10.0,10.0,2,0.07
25,56080,100.0,10.0,10.0,10.0,10.0,10.0,10.0,26,1.07
26,66614,93.0,9.0,9.0,9.0,9.0,10.0,9.0,15,0.18
