,id,shuttle_location,shuttle_type,engine_type,engine_vendor,engines,passenger_capacity,cancellation_policy,crew,d_check_complete,moon_clearance_complete,price,company_id
0,45163,Sao Tome and Principe,Type V5,Plasma,ThetaBase Services,2.0,4,moderate,2.0,f,f,"$1,715.0",32413
1,49438,Wallis and Futuna,Type V2,Plasma,ThetaBase Services,3.0,5,moderate,3.0,f,f,"$3,405.0",14122
2,10750,Niue,Type F5,Quantum,ThetaBase Services,1.0,2,strict,1.0,t,f,"$1,806.0",47761
3,4146,Malta,Type V2,Quantum,ThetaBase Services,1.0,2,moderate,1.0,f,f,"$1,676.0",26648
4,5067,Malta,Type V2,Plasma,ThetaBase Services,5.0,10,strict,5.0,f,f,"$4,718.0",26648
5,14891,Faroe Islands,Type V5,Plasma,ThetaBase Services,2.0,4,strict,3.0,f,f,"$2,950.0",24304
6,5689,Malta,Type V5,Quantum,ThetaBase Services,1.0,2,strict,1.0,f,f,"$1,975.0",42867
7,75321,Faroe Islands,Type F5,Quantum,ThetaBase Services,1.0,2,strict,1.0,t,f,"$1,455.0",47761
8,27341,Malta,Type V5,Quantum,ThetaBase Services,1.0,1,moderate,1.0,f,f,"$2,495.0",5252
9,25733,Malta,Type V2,Quantum,ThetaBase Services,1.0,2,strict,1.0,f,f,"$1,338.0",11275
10,38733,Bouvet Island (Bouvetoya),Type V5,Quantum,Warwick Technology Multinational,1.0,2,strict,1.0,f,f,"$1,455.0",21747
11,61198,Barbados,Type V5,Plasma,ThetaBase Services,1.0,4,flexible,1.0,f,f,"$2,430.0",40644
12,9858,United Kingdom,Type F5,Quantum,ThetaBase Services,1.0,2,moderate,1.0,f,f,"$1,715.0",2817
13,18221,Barbados,Type V5,Quantum,ThetaBase Services,0.0,1,moderate,1.0,f,f,"$1,845.0",42114
14,18590,Anguilla,Type O3,Quantum,ThetaBase Services,1.0,2,flexible,1.0,f,f,"$1,169.0",29416
15,19813,Rwanda,Type G0,Plasma,ThetaBase Services,1.0,3,strict,1.0,t,f,"$2,625.0",37646
16,74856,Malta,Type V5,Plasma,ThetaBase Services,1.0,2,strict,1.0,t,f,"$1,975.0",21836
17,76722,Bouvet Island (Bouvetoya),Type V5,Plasma,ThetaBase Services,1.0,2,strict,1.0,f,f,"$1,858.0",15268
18,29755,Faroe Islands,Type F5,Quantum,ThetaBase Services,1.0,1,strict,1.0,f,f,"$1,169.0",28884
19,12358,Barbados,Type V5,Plasma,ThetaBase Services,2.0,3,strict,2.0,t,f,"$3,470.0",42114
20,16167,Barbados,Type V5,Plasma,ThetaBase Services,2.0,6,moderate,3.0,f,f,"$5,550.0",15306
21,259,Rwanda,Type V5,Plasma,ThetaBase Services,1.0,3,moderate,1.0,t,f,"$2,495.0",31859
22,71339,Marshall Islands,Type F5,Quantum,ThetaBase Services,1.0,2,moderate,1.0,f,f,"$1,390.0",4795
23,48376,United Kingdom,Type V5,Quantum,ThetaBase Services,1.0,1,strict,1.0,f,f,"$1,520.0",46456
24,25335,Kiribati,Type V5,Plasma,ThetaBase Services,1.0,2,flexible,1.0,t,f,"$1,585.0",26562
25,56080,Russian Federation,Type V5,Plasma,ThetaBase Services,1.0,4,moderate,2.0,f,f,"$2,040.0",5570
26,66614,Malta,Type V5,Plasma,ThetaBase Services,2.0,5,strict,3.0,f,f,"$3,210.0",33906
27,51751,United Kingdom,Type V5,Quantum,ThetaBase Services,1.0,2,strict,1.0,t,f,"$1,572.0",464
28,16137,Niue,Type V5,Quantum,ThetaBase Services,1.0,2,strict,1.0,f,f,"$1,455.0",11781
29,54844,Niue,Type F5,Quantum,ThetaBase Services,1.0,1,moderate,1.0,f,f,"$1,377.0",32063
30,58486,Bouvet Island (Bouvetoya),Type V5,Plasma,ThetaBase Services,2.0,4,strict,2.0,f,f,"$2,625.0",14240
31,14259,Nicaragua,Type V5,Quantum,ThetaBase Services,1.0,3,strict,2.0,f,f,"$1,650.0",14191
32,41603,Faroe Islands,Type F5,Quantum,ThetaBase Services,1.0,5,strict,5.0,f,f,"$1,468.0",14369
33,258,Anguilla,Type V5,Quantum,ThetaBase Services,1.0,2,strict,1.0,t,f,"$1,195.0",28781
34,5637,United Kingdom,Type G0,Plasma,ThetaBase Services,2.0,5,strict,2.0,t,f,"$3,028.0",37646
35,23951,Micronesia,Type V5,Quantum,ThetaBase Services,1.0,2,moderate,1.0,f,f,"$1,429.0",15391
36,2990,Bouvet Island (Bouvetoya),Type V5,Plasma,ThetaBase Services,1.0,2,strict,1.0,f,f,"$2,235.0",14240
37,7653,Costa Rica,Type V5,Plasma,ThetaBase Services,1.0,4,strict,2.0,t,f,"$2,300.0",37392
38,74286,Russian Federation,Type V5,Plasma,ThetaBase Services,2.0,6,strict,2.0,f,f,"$2,040.0",30065
39,40515,Russian Federation,Type V5,Quantum,ThetaBase Services,1.0,2,moderate,1.0,f,f,"$1,416.0",9011
40,45692,Niue,Type V5,Plasma,ThetaBase Services,2.0,6,strict,3.0,f,f,"$1,845.0",26524
41,15000,Sao Tome and Principe,Type V5,Quantum,ThetaBase Services,1.0,2,moderate,0.0,t,f,"$1,611.0",35807
42,48747,Malta,Type V5,Plasma,ThetaBase Services,2.0,4,strict,2.0,f,f,"$2,170.0",13525
43,43966,Sao Tome and Principe,Type V5,Plasma,ThetaBase Services,1.0,2,flexible,1.0,f,f,"$1,715.0",29563
44,18155,Malta,Type V5,Quantum,ThetaBase Services,1.0,1,moderate,1.0,f,f,"$1,767.0",794
45,58876,Kiribati,Type V5,Quantum,ThetaBase Services,1.0,2,strict,1.0,f,f,"$1,845.0",283
46,24706,Barbados,Type V5,Plasma,ThetaBase Services,1.0,2,moderate,1.0,f,f,"$2,157.0",20847
47,70604,Bouvet Island (Bouvetoya),Type V5,Plasma,ThetaBase Services,2.0,4,strict,3.0,f,f,"$1,650.0",14602
48,26471,Marshall Islands,Type O3,Quantum,ThetaBase Services,1.0,4,flexible,1.0,f,f,"$2,040.0",27556
49,49800,Micronesia,Type V5,Quantum,ThetaBase Services,1.0,1,strict,1.0,f,f,"$1,325.0",13585
50,22234,United Kingdom,Type G0,Plasma,ThetaBase Services,1.0,3,strict,1.0,t,f,"$2,872.0",37646
51,16340,Nicaragua,Type V5,Plasma,ThetaBase Services,1.0,4,strict,3.0,f,f,"$2,105.0",45546
52,41203,Rwanda,Type G0,Plasma,ThetaBase Services,2.0,5,strict,2.0,t,f,"$3,015.0",37646
53,17610,United Kingdom,Type F5,Quantum,ThetaBase Services,1.0,2,strict,1.0,t,f,"$1,325.0",39713
54,6684,Rwanda,Type V5,Plasma,ThetaBase Services,2.0,5,strict,2.0,f,f,"$2,560.0",6518
55,31569,United Kingdom,Type V5,Plasma,ThetaBase Services,2.0,6,strict,3.0,f,f,"$3,990.0",32603
56,76975,Micronesia,Type V5,Plasma,ThetaBase Services,2.0,3,strict,2.0,f,f,"$2,105.0",13585
57,17713,Costa Rica,Type F5,Quantum,ThetaBase Services,1.0,2,flexible,1.0,f,f,"$1,481.0",40954
58,61591,Bouvet Island (Bouvetoya),Type V5,Plasma,ThetaBase Services,1.0,2,strict,1.0,f,f,"$2,040.0",30509
59,13839,Malta,Type V5,Quantum,ThetaBase Services,2.0,2,strict,2.0,f,f,"$1,585.0",9829
60,32376,United Kingdom,Type V5,Quantum,ThetaBase Services,1.0,3,strict,2.0,f,f,"$1,585.0",10204
61,35048,Russian Federation,Type V5,Plasma,ThetaBase Services,2.0,4,strict,3.0,f,f,"$3,405.0",45546
